Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,118.44,15.7,5.088,-0.30783,8.400e-3,0.0104,0.0064,864,2.181e-4,2.181e-4,2.181e-4,0_14:9.535e-3; 0_1:1.362e-2,0_14:519.111; 0_1:853.333
Q1,105.51,92.16,4.981,-0.30902,1.100e-2,0.01,0.012,864,2.382e-4,2.382e-4,2.382e-4,1_2:6.124e-3; 1_0:1.362e-2,1_2:298.667; 1_0:817.778
Q2,97.07,88.65,4.892,-0.3104,1.420e-2,0.015,0.0134,864,2.673e-4,2.673e-4,2.673e-4,2_3:1.159e-2; 2_1:6.124e-3,2_3:618.667; 2_1:334.222
Q3,71.44,32.13,4.944,-0.27711,3.990e-2,0.041,0.0388,864,4.049e-4,4.049e-4,4.049e-4,3_2:1.159e-2; 3_4:1.000e+0,3_2:654.222; 3_4:604.444
Q4,104.83,94.34,4.984,-0.32195,1.040e-1,0.1028,0.1052,864,1.699e-3,1.699e-3,1.699e-3,4_5:1.469e-2; 4_15:1.337e-2; 4_3:1.000e+0,4_5:881.778; 4_15:689.778; 4_3:640
Q5,101.48,184.01,4.882,-0.31039,5.430e-2,0.0452,0.0634,864,5.090e-4,5.090e-4,5.090e-4,5_6:7.498e-3; 5_4:1.469e-2,5_6:405.333; 5_4:846.222
Q6,126.22,111.83,4.969,-0.30806,9.500e-3,0.012,0.007,864,4.250e-4,4.250e-4,4.250e-4,6_7:7.933e-3; 6_5:7.498e-3,6_7:455.111; 6_5:369.778
Q7,103.21,59.58,5.015,-0.30824,9.200e-3,0.0118,0.0066,864,3.068e-4,3.068e-4,3.068e-4,7_6:7.933e-3; 7_8:1.026e-2,7_6:419.556; 7_8:533.333
Q8,98.33,84.12,5.111,-0.3073,1.190e-2,0.0102,0.0136,864,2.916e-4,2.916e-4,2.916e-4,8_16:2.213e-2; 8_7:1.026e-2,8_16:391.111; 8_7:568.889
Q9,140.69,61.52,4.97,-0.30941,9.980e-2,0.1042,0.0954,864,6.432e-3,6.432e-3,6.432e-3,9_10:1.000e+0,9_10:426.667
Q10,115.14,110.02,4.876,-0.31036,6.630e-2,0.0836,0.049,864,4.317e-3,4.317e-3,4.317e-3,10_11:7.850e-2; 10_9:1.000e+0,10_11:405.333; 10_9:462.222
Q11,153.65,48.94,5.127,-0.30673,1.393e-1,0.1306,0.148,864,2.147e-3,2.147e-3,2.147e-3,11_10:7.850e-2; 11_12:5.974e-2,11_10:369.778; 11_12:1344
Q12,118.77,114.73,4.83,-0.31113,2.538e-1,0.2214,0.2862,864,2.082e-3,2.082e-3,2.082e-3,12_13:7.704e-3; 12_17:2.194e-2; 12_11:5.974e-2,12_13:398.222; 12_17:1187.556; 12_11:1308.444
Q13,106.2,13.9,4.95,-0.30876,8.400e-3,0.0102,0.0066,864,2.147e-4,2.147e-4,2.147e-4,13_12:7.704e-3,13_12:362.667
Q14,104.88,64.61,4.995,-0.30886,7.800e-3,0.008,0.0076,864,3.388e-4,3.388e-4,3.388e-4,14_0:9.535e-3; 14_18:9.098e-3,14_0:483.556; 14_18:355.556
Q15,101.36,60.3,5.118,-0.30738,3.460e-2,0.0328,0.0364,864,7.249e-4,7.249e-4,7.249e-4,15_22:4.272e-2; 15_4:1.337e-2,15_22:1080.889; 15_4:654.222
Q16,143.53,195.73,4.918,-0.3091,5.600e-3,0.0092,0.002,864,1.547e-4,1.547e-4,1.547e-4,16_8:2.213e-2; 16_26:6.388e-3,16_8:426.667; 16_26:348.444
Q17,161.92,146,5.003,-0.30763,3.990e-2,0.0188,0.061,864,2.742e-4,2.742e-4,2.742e-4,17_30:1.076e-2; 17_12:2.194e-2,17_30:384; 17_12:1152
Q18,133.22,159.07,4.866,-0.31125,4.410e-2,0.0438,0.0444,864,1.711e-4,1.711e-4,1.711e-4,18_19:7.675e-3; 18_14:9.098e-3,18_19:405.333; 18_14:391.111
