Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,136.25,22.53,5.197,-0.34085,8.800e-3,0.0092,0.0084,675.556,1.436e-4,1.436e-4,1.436e-4,0_1:4.222e-3,0_1:298.667
Q1,167.21,165.9,4.99,-0.34489,1.120e-2,0.0144,0.008,675.556,2.795e-4,2.795e-4,2.795e-4,1_4:5.262e-3; 1_2:5.222e-3; 1_0:4.222e-3,1_4:355.556; 1_2:405.333; 1_0:334.222
Q2,112.94,45.22,5.115,-0.34343,6.900e-3,0.0104,0.0034,675.556,2.211e-4,2.211e-4,2.211e-4,2_3:6.632e-3; 2_1:5.222e-3,2_3:412.444; 2_1:440.889
Q3,136.8,64.85,4.869,-0.3461,8.300e-3,0.0096,0.007,675.556,2.584e-4,2.584e-4,2.584e-4,3_5:6.156e-3; 3_2:6.632e-3,3_5:433.778; 3_2:448
Q4,155.04,196.55,5.219,-0.34069,2.310e-2,0.0238,0.0224,675.556,2.020e-4,2.020e-4,2.020e-4,4_7:5.563e-2; 4_1:5.262e-3,4_7:512; 4_1:320
Q5,100.01,46.46,5.102,-0.34383,2.000e-2,0.0242,0.0158,675.556,2.077e-4,2.077e-4,2.077e-4,5_8:5.953e-3; 5_3:6.156e-3,5_8:526.222; 5_3:398.222
Q6,124.62,85.48,5.203,-0.34133,3.760e-2,0.0454,0.0298,675.556,4.131e-4,4.131e-4,4.131e-4,6_7:9.597e-3,6_7:476.444
Q7,56.45,22.48,5.021,-0.34519,1.740e-2,0.018,0.0168,675.556,4.222e-4,4.222e-4,4.222e-4,7_10:1.275e-2; 7_4:5.563e-2; 7_6:9.597e-3,7_10:490.667; 7_4:476.444; 7_6:440.889
Q8,220.14,178.9,4.962,-0.34615,5.900e-3,0.0064,0.0054,675.556,1.661e-4,1.661e-4,1.661e-4,8_11:3.042e-2; 8_5:5.953e-3; 8_9:4.407e-3,8_11:291.556; 8_5:490.667; 8_9:320
Q9,120,69.38,5.056,-0.34253,1.230e-2,0.0144,0.0102,675.556,1.781e-4,1.781e-4,1.781e-4,9_8:4.407e-3,9_8:284.444
Q10,109.33,89.28,5.178,-0.34161,1.010e-2,0.0108,0.0094,675.556,2.214e-4,2.214e-4,2.214e-4,10_7:1.275e-2; 10_12:1.642e-2,10_7:526.222; 10_12:590.222
Q11,8.72,14.06,4.882,-0.38154,6.160e-2,0.0754,0.0478,675.556,3.328e-3,3.328e-3,3.328e-3,11_14:8.724e-2; 11_8:3.042e-2,11_14:1173.333; 11_8:327.111
Q12,158.87,74.28,4.964,-0.34699,9.300e-3,0.0104,0.0082,675.556,1.877e-4,1.877e-4,1.877e-4,12_15:5.765e-3; 12_13:9.318e-3; 12_10:1.642e-2,12_15:433.778; 12_13:341.333; 12_10:554.667
Q13,189.22,225.8,5.019,-0.34421,1.050e-2,0.0116,0.0094,675.556,3.588e-4,3.588e-4,3.588e-4,13_12:9.318e-3; 13_14:4.083e-3,13_12:305.778; 13_14:376.889
Q14,155.77,172.55,5.124,-0.34238,5.900e-3,0.0044,0.0074,675.556,1.297e-4,1.297e-4,1.297e-4,14_11:8.724e-2; 14_13:4.083e-3; 14_16:3.393e-3,14_11:1208.889; 14_13:341.333; 14_16:305.778
Q15,153.81,187.53,5.031,-0.34602,7.100e-3,0.0082,0.006,675.556,2.790e-4,2.790e-4,2.790e-4,15_12:5.765e-3; 15_18:1.080e-2,15_12:398.222; 15_18:362.667
Q16,133.87,79.99,5.218,-0.34103,1.170e-2,0.012,0.0114,675.556,2.178e-4,2.178e-4,2.178e-4,16_19:4.315e-3; 16_14:3.393e-3,16_19:227.556; 16_14:234.667
Q17,130.08,37.8,5.237,-0.33997,3.700e-3,0.0054,0.002,675.556,2.557e-4,2.557e-4,2.557e-4,17_18:1.472e-2,17_18:504.889
Q18,74.51,86.01,5.091,-0.34272,1.000e-2,0.0122,0.0078,675.556,2.619e-4,2.619e-4,2.619e-4,18_21:1.712e-2; 18_17:1.472e-2; 18_15:1.080e-2,18_21:490.667; 18_17:469.333; 18_15:398.222
Q19,162.37,90.12,4.999,-0.34599,1.030e-2,0.0098,0.0108,675.556,1.688e-4,1.688e-4,1.688e-4,19_20:1.149e-2; 19_22:4.309e-3; 19_16:4.315e-3,19_20:668.444; 19_22:266.667; 19_16:298.667
Q20,134.33,65.55,5.191,-0.34027,1.040e-2,0.0084,0.0124,675.556,3.191e-4,3.191e-4,3.191e-4,20_19:1.149e-2,20_19:632.889
Q21,116.62,29.14,5.268,-0.34013,8.200e-3,0.0082,0.0082,675.556,5.570e-4,5.570e-4,5.570e-4,21_18:1.712e-2; 21_23:6.814e-3,21_18:526.222; 21_23:362.667
Q22,118.68,43.79,5.117,-0.34173,1.650e-2,0.018,0.015,675.556,2.192e-4,2.192e-4,2.192e-4,22_25:4.764e-3; 22_19:4.309e-3,22_25:213.333; 22_19:195.556
Q23,158.28,162.84,5.135,-0.34243,6.400e-3,0.0062,0.0066,675.556,1.859e-4,1.859e-4,1.859e-4,23_24:7.743e-3; 23_21:6.814e-3,23_24:682.667; 23_21:398.222
Q24,147.8,37.71,5.002,-0.34587,3.210e-2,0.0338,0.0304,675.556,4.502e-4,4.502e-4,4.502e-4,24_23:7.743e-3; 24_25:1.000e+0,24_23:718.222; 24_25:753.778
Q25,201.63,214.51,4.92,-0.34601,5.500e-3,0.0068,0.0042,675.556,2.045e-4,2.045e-4,2.045e-4,25_26:4.814e-3; 25_22:4.764e-3; 25_24:1.000e+0,25_26:309.333; 25_22:284.444; 25_24:718.222
Q26,131.83,101.13,5.116,-0.34109,8.100e-3,0.0112,0.005,675.556,1.619e-4,1.619e-4,1.619e-4,26_25:4.814e-3,26_25:238.222
