Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,157.6,121.36,4.911,-0.34163,1.590e-2,0.0246,0.0072,5201.778,3.714e-4,3.714e-4,3.714e-4,0_1:9.064e-3,0_1:384
Q1,115.51,37.03,4.835,-0.32467,1.390e-2,0.0204,0.0074,5201.778,1.602e-4,1.602e-4,1.602e-4,1_4:1.116e-2; 1_2:8.180e-3; 1_0:9.064e-3,1_4:526.222; 1_2:568.889; 1_0:419.556
Q2,96.57,110.39,4.983,-0.33864,1.990e-2,0.0272,0.0126,5201.778,2.835e-4,2.835e-4,2.835e-4,2_3:6.575e-3; 2_1:8.180e-3,2_3:405.333; 2_1:533.333
Q3,102.36,35.95,5.105,-0.33516,1.280e-2,0.0142,0.0114,5201.778,2.814e-4,2.814e-4,2.814e-4,3_5:1.583e-2; 3_2:6.575e-3,3_5:398.222; 3_2:369.778
Q4,172.93,200.24,5.004,-0.33873,1.800e-2,0.0276,0.0084,5201.778,3.693e-4,3.693e-4,3.693e-4,4_7:1.021e-2; 4_1:1.116e-2,4_7:284.444; 4_1:561.778
Q5,78.74,85.79,5.033,-0.33721,9.200e-2,0.1608,0.0232,5201.778,2.285e-3,2.285e-3,2.285e-3,5_8:2.222e-2; 5_3:1.583e-2,5_8:355.556; 5_3:362.667
Q6,131.55,19.94,4.951,-0.41989,1.047e-1,0.0478,0.1616,5201.778,4.816e-4,4.816e-4,4.816e-4,6_7:1.933e-2,6_7:526.222
Q7,111.88,152.36,4.902,-0.32339,2.050e-2,0.025,0.016,5201.778,2.875e-4,2.875e-4,2.875e-4,7_10:2.400e-2; 7_6:1.933e-2; 7_4:1.021e-2,7_10:590.222; 7_6:490.667; 7_4:320
Q8,146.41,138.68,4.908,-0.32428,2.740e-2,0.0352,0.0196,5201.778,2.614e-4,2.614e-4,2.614e-4,8_5:2.222e-2; 8_11:6.776e-3; 8_9:6.455e-3,8_5:391.111; 8_11:483.556; 8_9:405.333
Q9,171.6,109.61,5.045,-0.33854,9.700e-3,0.0172,0.0022,5201.778,2.329e-4,2.329e-4,2.329e-4,9_8:6.455e-3,9_8:369.778
Q10,107.71,117.8,5.082,-0.33796,1.190e-2,0.0182,0.0056,5201.778,3.164e-4,3.164e-4,3.164e-4,10_7:2.400e-2; 10_12:6.793e-3,10_7:554.667; 10_12:412.444
Q11,114.43,57.91,5.035,-0.33772,1.150e-2,0.0158,0.0072,5201.778,2.111e-4,2.111e-4,2.111e-4,11_14:6.644e-3; 11_8:6.776e-3,11_14:341.333; 11_8:448
Q12,121.93,192.66,4.972,-0.32277,1.530e-2,0.025,0.0056,5201.778,2.662e-4,2.662e-4,2.662e-4,12_13:2.453e-2; 12_10:6.793e-3; 12_15:1.269e-2,12_13:391.111; 12_10:376.889; 12_15:405.333
Q13,112.43,68.23,4.868,-0.34063,1.150e-2,0.0194,0.0036,5201.778,4.579e-4,4.579e-4,4.579e-4,13_12:2.453e-2; 13_14:6.955e-3,13_12:426.667; 13_14:490.667
Q14,110.09,176.12,4.961,-0.32314,1.380e-2,0.022,0.0056,5201.778,2.122e-4,2.122e-4,2.122e-4,14_11:6.644e-3; 14_16:6.153e-3; 14_13:6.955e-3,14_11:376.889; 14_16:355.556; 14_13:526.222
Q15,98.6,96.6,5.034,-0.33742,1.540e-2,0.0252,0.0056,5201.778,3.977e-4,3.977e-4,3.977e-4,15_18:1.452e-2; 15_12:1.269e-2,15_18:597.333; 15_12:369.778
Q16,116.98,91.28,5.086,-0.33707,1.070e-2,0.0172,0.0042,5201.778,2.683e-4,2.683e-4,2.683e-4,16_19:1.483e-2; 16_14:6.153e-3,16_19:270.222; 16_14:320
Q17,139.85,136.25,5.072,-0.33763,2.880e-2,0.0326,0.025,5201.778,4.957e-4,4.957e-4,4.957e-4,17_18:9.595e-3,17_18:348.444
Q18,94.06,22.34,4.981,-0.30385,3.020e-2,0.0344,0.026,5201.778,3.463e-4,3.463e-4,3.463e-4,18_21:1.276e-2; 18_15:1.452e-2; 18_17:9.595e-3,18_21:440.889; 18_15:632.889; 18_17:384
Q19,142.63,226.12,4.982,-0.32219,1.290e-2,0.02,0.0058,5201.778,2.197e-4,2.197e-4,2.197e-4,19_22:6.787e-3; 19_16:1.483e-2; 19_20:7.253e-3,19_22:327.111; 19_16:305.778; 19_20:355.556
Q20,108.97,131.2,5.082,-0.33722,1.550e-2,0.0236,0.0074,5201.778,3.586e-4,3.586e-4,3.586e-4,20_19:7.253e-3,20_19:320
Q21,114.14,49.76,5.094,-0.3358,5.330e-2,0.0298,0.0768,5201.778,4.695e-4,4.695e-4,4.695e-4,21_18:1.276e-2; 21_23:1.041e-2,21_18:405.333; 21_23:426.667
Q22,102.48,183.5,5.057,-0.3371,1.510e-2,0.025,0.0052,5201.778,2.694e-4,2.694e-4,2.694e-4,22_19:6.787e-3; 22_25:9.809e-3,22_19:291.556; 22_25:611.556
Q23,140.37,66.22,4.973,-0.3374,1.720e-2,0.0316,0.0028,5201.778,3.413e-4,3.413e-4,3.413e-4,23_21:1.041e-2; 23_24:7.384e-3,23_21:391.111; 23_24:405.333
Q24,108.43,35.09,5.051,-0.33866,1.690e-2,0.0228,0.011,5201.778,2.883e-4,2.883e-4,2.883e-4,24_23:7.384e-3; 24_25:1.265e-2,24_23:440.889; 24_25:376.889
Q25,77.19,41.91,4.935,-0.32255,1.020e-2,0.016,0.0044,5201.778,5.235e-4,5.235e-4,5.235e-4,25_22:9.809e-3; 25_26:9.325e-3; 25_24:1.265e-2,25_22:576; 25_26:483.556; 25_24:412.444
Q26,145.97,176.78,5,-0.33775,1.810e-2,0.029,0.0072,5201.778,2.752e-4,2.752e-4,2.752e-4,26_25:9.325e-3,26_25:519.111
