Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,100.43,125.92,4.853,-0.33367,1.880e-2,0.0268,0.0108,3900.444,2.458e-4,2.458e-4,2.458e-4,0_10:7.497e-3; 0_1:9.082e-3,0_10:312.889; 0_1:398.222
Q1,91.44,131.77,5.004,-0.33072,2.350e-2,0.0312,0.0158,3900.444,2.013e-4,2.013e-4,2.013e-4,1_0:9.082e-3; 1_2:1.794e-2,1_0:433.778; 1_2:476.444
Q2,61.93,81.28,5.146,-0.32763,1.880e-2,0.0226,0.015,3900.444,2.818e-4,2.818e-4,2.818e-4,2_3:9.682e-3; 2_1:1.794e-2,2_3:270.222; 2_1:512
Q3,39.66,52.71,5.05,-0.32918,1.650e-2,0.025,0.008,3900.444,3.683e-4,3.683e-4,3.683e-4,3_4:7.763e-3; 3_2:9.682e-3,3_4:291.556; 3_2:305.778
Q4,82.32,95.57,4.938,-0.33011,1.900e-2,0.0306,0.0074,3900.444,3.402e-4,3.402e-4,3.402e-4,4_5:6.578e-3; 4_11:8.653e-3; 4_3:7.763e-3,4_5:305.778; 4_11:412.444; 4_3:327.111
Q5,67.87,81.21,5.01,-0.33062,2.370e-2,0.0334,0.014,3900.444,2.621e-4,2.621e-4,2.621e-4,5_4:6.578e-3; 5_6:8.730e-3,5_4:270.222; 5_6:362.667
Q6,65.73,99.84,5.133,-0.32822,2.060e-2,0.0328,0.0084,3900.444,3.605e-4,3.605e-4,3.605e-4,6_7:1.985e-2; 6_5:8.730e-3,6_7:384; 6_5:327.111
Q7,64.72,96.26,4.975,-0.33103,2.700e-2,0.0392,0.0148,3900.444,3.187e-4,3.187e-4,3.187e-4,7_6:1.985e-2; 7_8:1.100e-2,7_6:348.444; 7_8:483.556
Q8,83.56,96.75,5.164,-0.32775,1.120e-2,0.0168,0.0056,3900.444,2.703e-4,2.703e-4,2.703e-4,8_12:1.100e-2; 8_9:9.883e-3; 8_7:1.100e-2,8_12:405.333; 8_9:504.889; 8_7:448
Q9,62.48,16.56,5.305,-0.3253,3.490e-2,0.0546,0.0152,3900.444,4.480e-4,4.480e-4,4.480e-4,9_8:9.883e-3,9_8:469.333
Q10,63.33,85.2,5.065,-0.3294,1.650e-2,0.0246,0.0084,3900.444,3.552e-4,3.552e-4,3.552e-4,10_0:7.497e-3; 10_13:1.164e-2,10_0:277.333; 10_13:334.222
Q11,60.97,84.71,5.085,-0.32746,3.250e-2,0.0552,0.0098,3900.444,3.842e-4,3.842e-4,3.842e-4,11_4:8.653e-3; 11_17:1.104e-2,11_4:376.889; 11_17:554.667
Q12,109.56,99.53,5.017,-0.32907,3.330e-2,0.0492,0.0174,3900.444,3.683e-4,3.683e-4,3.683e-4,12_8:1.100e-2; 12_21:8.080e-3,12_8:369.778; 12_21:341.333
